item_id,item_name,expected_fo,item_prices_large,report_price,selisih,food_qty,serial_qty,fo_min,fo_max,fo_rows,bad_serial_rows,issue
52429,"Salad Oil",896100,896100,353402.61,-542697.39,3,23,896000,896100,160,23,SERIAL_GR
55500,"Label Preparation Roll",168100,168100,1227.51,-166872.49,1,1006,168000,168100,101,7,SERIAL_GR
52471,"Artisan Tea Ceylon Green Tea",131800,131800,218500,86700,1,0,131800,131800,4,0,REPORT_MIX
52347,"Chilli Sachet",145600,145600,102600,-43000,0,0.25,144500,145600,79,1,SERIAL_GR
52360,Fryall,453900,453900,422278.11,-31621.89,3,17,453900,453900,193,17,SERIAL_GR
52464,"Syrup Peach",123300,123300,154900,31600,2,0,123300,123300,14,0,REPORT_MIX
52473,"Artisan Tea Ginger & Mint",205200,205200,233900,28700,1,0,205200,205200,16,0,REPORT_MIX
54789,"HVS 1 Ply 75x65",44900,44900,16320,-28580,0,15,44800,44900,71,6,SERIAL_GR
53265,"Butter Salted",87600,87573,63976.47,-23623.53,170,0,62500,87600,289,0,FO
52660,Guacamole,89200,89200,69768.51,-19431.49,0,8,58900,89200,110,8,SERIAL_GR
52477,"Black Truffle Paste",259000,259000,240507.68,-18492.32,1,5,259000,259000,44,5,SERIAL_GR
52655,Thyme,268800,268800,251520,-17280,0.1,0.4,268800,268800,31,3,SERIAL_GR
52721,"Hand Soap",150000,150000,133900,-16100,0,1,150000,150000,3,1,SERIAL_GR
52458,"Truffle Oil",209900,209900,193877.14,-16022.86,6,15,209900,209900,139,15,SERIAL_GR
52394,Mayonaise,225300,225300,209578.15,-15721.85,3,22,225300,225300,162,22,SERIAL_GR
78832,"Coca Cola Zero Can",146100,146100,130399,-15701,0,2,146100,146100,27,2,SERIAL_GR
52353,"Cokelat Powder",246500,246500,231314.29,-15185.71,0,7,246400,246500,69,7,SERIAL_GR
52405,Nutmeg,224100,224100,209012.5,-15087.5,0.25,1.75,224000,224100,57,7,SERIAL_GR
52789,"Plastik Wrap",220700,220700,205872.5,-14827.5,1,7,220700,220700,107,7,SERIAL_GR
52336,"Minyak Goreng",407700,407700,393126.6,-14573.4,1,2,407700,407700,52,2,SERIAL_GR
52337,"Black Pepper",201700,201700,187233.33,-14466.67,0.5,1,201600,201700,22,4,SERIAL_GR
52969,"Beef Black Angus Striploin 250gr",164500,164404,150100,-14400,8,0,150100,150100,91,0,FO
52375,"House Blend",392100,392100,378066.67,-14033.33,4,2,280000,392100,110,2,SERIAL_GR
55709,"General Cleaner",124400,124400,111000,-13400,0,2,124400,124400,36,2,SERIAL_GR
52408,"Oyster Sauce",123300,123300,110000,-13300,0,1,123200,123300,17,1,SERIAL_GR
52351,"Coca Cola Can",146100,146100,133539.8,-12560.2,1,4,146100,146100,60,4,SERIAL_GR
52664,"Olive Oil 500Mili liter",143400,143400,131422.22,-11977.78,2,7,143400,143400,47,7,SERIAL_GR
55707,Greezaway,221800,221800,209900,-11900,1,1,221800,221800,25,1,SERIAL_GR
52495,"Equil Sparkling",179100,179100,167556,-11544,2,3,179100,179100,38,3,SERIAL_GR
52494,Equil,164200,164200,152953.16,-11246.84,2,9,164200,164200,53,9,SERIAL_GR
52828,"Plastik Roll Buah 30x45",100900,100900,90000,-10900,0,2,100800,100900,7,1,SERIAL_GR
52529,"Syrup Green Apple",150600,150600,139800,-10800,1,2,150600,150600,22,2,SERIAL_GR
52505,"Sauce Chocolate",299900,299900,289164.27,-10735.73,0,3,299900,299900,36,3,SERIAL_GR
52388,Madu,121000,121000,110599.98,-10400.02,1,4,121000,121000,52,4,SERIAL_GR
52345,"Chilli Flake",156900,156900,146760,-10140,0.5,0.75,156900,156900,30,3,SERIAL_GR
52373,"Syrup Hazelnut",133300,133300,123800.01,-9499.99,1,2,133300,133300,27,2,SERIAL_GR
52436,Sunquick,168100,168100,159000,-9100,1,1,168000,168100,31,1,SERIAL_GR
52654,"Merica Halus",112100,112100,103025,-9075,0.25,0.75,112000,112100,27,3,SERIAL_GR
52355,"Cream Soup Powder",101500,101500,94215.03,-7284.97,0,3,101500,101500,32,3,SERIAL_GR
52407,Oregano,257700,257700,250775,-6925,0.3,0.1,257600,257700,35,1,SERIAL_GR
52461,"Chocolate Compound",84100,84100,77250,-6850,0,4,84000,84100,44,4,SERIAL_GR
52343,"Chicken Powder",101000,101000,94235.62,-6764.38,4,17,101000,101000,175,17,SERIAL_GR
52331,"Bawang Goreng",61700,61700,55000,-6700,0,2,61700,61700,31,2,SERIAL_GR
52399,"Syrup Mint",123300,123300,116650,-6650,1,1,123200,123300,32,1,SERIAL_GR
52384,"Kerupuk Emping",98600,98600,92225.6,-6374.4,0.5,12,98600,98600,171,24,SERIAL_GR
52404,"Nestea Powder",72000,72000,65748.18,-6251.82,5,60,72000,72000,230,60,SERIAL_GR
52484,"Kacang Arab",35100,35100,41100,6000,2,0,35100,35100,26,0,REPORT_MIX
52513,Creamer,50500,50500,45000,-5500,0,1,39200,50500,24,1,SERIAL_GR
52339,"Buah Peach Can",61700,61700,56383.32,-5316.68,1,5,61600,61700,64,5,SERIAL_GR
52367,"Syrup Gula Aren",72800,72800,67600,-5200,1,2,72800,72800,53,2,SERIAL_GR
52871,"Cup 12 Logo SH",144300,144256,139133.33,-5166.67,3,0,144300,144300,10,0,REPORT_MIX
52806,"Sticker Botol Aren",14100,14000,9000,-5100,1,0,14000,14100,3,0,FO
52555,"Gula Putih Sachet SH",73400,73400,78350,4950,2,2,73400,93300,33,2,SERIAL_GR
52793,Sedotan,23200,23200,18263.16,-4936.84,5,14,18500,41500,95,14,SERIAL_GR
52364,"Gas Whipped",85800,85800,81223.33,-4576.67,2,4,85800,85800,62,4,SERIAL_GR
52525,"Kecap Asin Angsa",28100,28100,23599.98,-4500.02,0,1,26400,26400,32,1,SERIAL_GR
52443,"Teh Celup",56700,56700,52254.41,-4445.59,0,29,56700,56700,167,29,SERIAL_GR
52510,"Skewer Rotan Simpul",50500,50500,46500,-4000,3,8,50400,50500,95,8,SERIAL_GR
52498,"Tomato Peeled",107600,107600,103766.67,-3833.33,2,1,107600,107600,15,1,SERIAL_GR
52790,"Salad Bowl",54800,54800,51320,-3480,4,6,38700,54800,102,6,SERIAL_GR
52801,"Spinach Bowl",24700,24700,21305.71,-3394.29,2,12,19600,24700,154,12,SERIAL_GR
52420,"Pasta Spaghetti",47300,47300,44046.89,-3253.11,14,30,47300,47300,157,30,SERIAL_GR
52736,Hairnet,44900,44900,41825,-3075,2,6,44800,44900,81,6,SERIAL_GR
52433,"Soda Water",35300,35300,32260,-3040,1,4,35300,35300,78,4,SERIAL_GR
52502,"Sea Salt Baby Pyramid",26700,26700,23777.78,-2922.22,0,9,26600,26700,33,9,SERIAL_GR
52365,Gerkin,34900,34900,32083.89,-2816.11,5,18,34900,34900,163,18,SERIAL_GR
52392,"Marjan Strawberry",25300,25300,22499.98,-2800.02,0,19,25200,25300,147,19,SERIAL_GR
52732,"Hands Glove Rubber",68400,68400,71169.23,2769.23,1,12,68400,78500,162,12,SERIAL_GR
52468,"Syrup Kawista",60500,60500,57757.15,-2742.85,4,3,60500,60500,50,3,SERIAL_GR
52717,Dishwash,30300,30300,27750.77,-2549.23,2,37,30300,30300,255,37,SERIAL_GR
52503,"Beras Jepang",37600,37600,35074.56,-2525.44,11,46,37600,37600,182,56,SERIAL_GR
52390,"Marjan Lychee",25300,25300,22930.75,-2369.25,2,11,25200,25300,92,11,SERIAL_GR
52852,"Sauce Cup Dessert",21300,21300,19000,-2300,0,8,21300,21300,113,8,SERIAL_GR
52338,"Buah Lychee Can",28000,28000,25725.81,-2274.19,10,52,28000,28000,173,47,SERIAL_GR
52607,"Minyak Klentik",59400,59400,57266.66,-2133.34,2,1,58900,59400,48,1,SERIAL_GR
52444,"Tepung Easy Mix",32000,32000,29884,-2116,5,20,32000,32000,198,20,SERIAL_GR
52393,"Marjan Vanilla",25300,25300,23199.99,-2100.02,2,6,25200,25300,65,6,SERIAL_GR
52381,"Kecap Asin",20200,20200,22166.67,1966.67,0,3,20200,24700,65,3,SERIAL_GR
52733,"Masker 3 Ply",29200,29200,27269.33,-1930.67,4,11,29200,29200,151,11,SERIAL_GR
52653,"Donut Dusting",34800,34720,32900,-1900,0.5,0.5,34800,34800,8,1,SERIAL_GR
52419,"Pasta Fettucine",24600,24600,22745.62,-1854.38,3,19,24600,24600,124,19,SERIAL_GR
52511,"Skewer Burger",24700,24700,22900,-1800,1,2,24700,24700,32,2,SERIAL_GR
52486,Santan,15600,15600,13924.33,-1675.67,1,2,15600,15600,56,2,SERIAL_GR
52483,"Milk Evaporate",21300,21300,19657.14,-1642.86,2,5,21300,21300,99,5,SERIAL_GR
52432,"SKM Putih",14100,14100,12628.57,-1471.43,3,11,14000,14100,100,11,SERIAL_GR
52447,"Tepung Roti Kasar",22200,22200,20746.5,-1453.5,3.5,20.5,22200,22500,266,41,SERIAL_GR
52371,"Gula Pasir",20400,20400,18975.45,-1424.55,8,50,20400,20400,209,25,SERIAL_GR
52791,"Sauce Cup",12100,12100,10800,-1300,0,4,12100,12100,65,4,SERIAL_GR
52478,"Pasta Macaroni",15600,15600,14338.67,-1261.33,2,13,15600,15600,85,13,SERIAL_GR
52537,"Sauce Chilli Botol",17400,17400,16146.32,-1253.68,36,192,17400,17400,154,16,SERIAL_GR
52334,"Beras Lokal",17500,17500,16312.11,-1187.89,25,160,17500,17500,296,32,SERIAL_GR
52333,"Beras Pandan Wangi",17500,17500,16324.31,-1175.69,10,55,17500,17500,168,11,SERIAL_GR
52521,"Vinegar Dixi",16800,16800,15899.99,-900.01,1,1,16800,16800,51,1,SERIAL_GR
52362,"Garam Refina",8400,8400,7500,-900,0,4,8400,8400,31,4,SERIAL_GR
52559,"Tepung Beras",10100,10100,9265,-835,1,3,10100,10100,55,3,SERIAL_GR
52448,"Tepung Terigu",11500,11500,10704.8,-795.2,1,4,11500,11500,96,4,SERIAL_GR
52496,"Kacang Tanah",34200,34200,34900,700,0.25,1.75,34200,39200,51,7,SERIAL_GR
53111,Onion,37000,36960,36961.82,-38.18,10.07,211.51,37000,37000,302,0,OK
