order_id,created_at,outlet,nomor,paid_number,status,grand_total,sum_amount,sum_amount_minus_change,diff_amount,diff_net,payment_count,payments_detail
mdbansvqzlzja,"2025-07-20 13:26:55","Justus Steak House Dago",DGTEMP25070474,DG25070821,paid,635300,571800,571800,63500,63500,1,BANK_BCA:571800.00(chg0.00)
JWTEMP25070237,"2025-07-20 21:11:13","Justus Steak House Jawa",JWTEMP25070237,JW25070239,paid,537100,768100,768100,-231000,-231000,2,"BANK_BRI:231000.00(chg0.00) | BANK_BCA:537100.00(chg0.00)"
DGTEMP25070582,"2025-07-22 12:06:52","Justus Steak House Dago",DGTEMP25070582,DG25070934,paid,366200,732400,732400,-366200,-366200,2,"BANK_BCA:366200.00(chg0.00) | BANK_BCA:366200.00(chg0.00)"
DGTEMP25070603,"2025-07-22 17:41:30","Justus Steak House Dago",DGTEMP25070603,DG25070955,paid,1376800,1242300,1242300,134500,134500,1,BANK_BCA:1242300.00(chg0.00)
DGTEMP25070649,"2025-07-23 15:01:37","Justus Steak House Dago",DGTEMP25070649,DG25071007,paid,310700,290400,290400,20300,20300,1,BANK_BCA:290400.00(chg0.00)
LBTEMP25070093,"2025-07-26 17:59:01","Justus Steak House Lebak Bulus",LBTEMP25070093,LB25070119,paid,1076600,1057600,1057600,19000,19000,1,BANK_BRI:1057600.00(chg0.00)
LBTEMP25070105,"2025-07-26 18:48:56","Justus Steak House Lebak Bulus",LBTEMP25070105,LB25070110,paid,910100,898300,898300,11800,11800,1,BANK_BRI:898300.00(chg0.00)
mdkc655cuv22i,"2025-07-26 21:19:06","Justus Steak House Lebak Bulus",LBTEMP25070151,LB25070135,paid,67000,46900,46900,20100,20100,1,BANK_BRI:46900.00(chg0.00)
DGTEMP25070900,"2025-07-27 11:26:32","Justus Steak House Dago",DGTEMP25070900,DG25071266,paid,733500,704600,704600,28900,28900,1,BANK_BCA:704600.00(chg0.00)
DGTEMP25070902,"2025-07-27 12:15:14","Justus Steak House Dago",DGTEMP25070902,DG25071267,paid,463200,440300,440300,22900,22900,1,BANK_BCA:440300.00(chg0.00)
DGTEMP25070930,"2025-07-27 14:30:09","Justus Steak House Dago",DGTEMP25070930,DG25071298,paid,754300,682900,682900,71400,71400,1,BANK_BCA:682900.00(chg0.00)
DGTEMP25070934,"2025-07-27 14:48:19","Justus Steak House Dago",DGTEMP25070934,DG25071303,paid,420500,396200,396200,24300,24300,1,BANK_BCA:396200.00(chg0.00)
DGTEMP25070977,"2025-07-28 12:46:09","Justus Steak House Dago",DGTEMP25070977,DG25071349,paid,596000,550100,550100,45900,45900,1,BANK_BCA:550100.00(chg0.00)
mdmtjz3ybaj1v,"2025-07-28 15:01:17","Justus Steak House Miko Mall",MKTEMP25070018,MK25070013,paid,125700,100000,100000,25700,25700,1,BANK_BCA:100000.00(chg0.00)
MKTEMP25070020,"2025-07-28 15:34:49","Justus Steak House Miko Mall",MKTEMP25070020,MK25070016,paid,142100,147100,144200,-5000,-2100,3,"BANK_BCA:100000.00(chg0.00) | CASH:42100.00(chg2900.00) | EXTRA:5000.00(chg0.00)"
LBTEMP25070364,"2025-07-28 18:07:52","Justus Steak House Lebak Bulus",LBTEMP25070364,LB25070375,paid,246600,493200,493200,-246600,-246600,2,"BANK_BRI:246600.00(chg0.00) | BANK_BRI:246600.00(chg0.00)"
LBTEMP25070432,"2025-07-29 13:09:56","Justus Steak House Lebak Bulus",LBTEMP25070432,LB25070453,paid,356600,713200,713200,-356600,-356600,2,"BANK_BRI:356600.00(chg0.00) | BANK_BRI:356600.00(chg0.00)"
LBTEMP25070442,"2025-07-29 14:46:26","Justus Steak House Lebak Bulus",LBTEMP25070442,LB25070465,paid,730900,1461800,1461800,-730900,-730900,2,"BANK_BRI:730900.00(chg0.00) | BANK_BRI:730900.00(chg0.00)"
LBTEMP25070453,"2025-07-29 17:36:44","Justus Steak House Lebak Bulus",LBTEMP25070453,LB25070472,paid,236100,472200,472200,-236100,-236100,2,"BANK_BRI:236100.00(chg0.00) | BANK_BRI:236100.00(chg0.00)"
DGTEMP25071181,"2025-07-31 19:47:09","Justus Steak House Dago",DGTEMP25071181,DG25071552,paid,3975600,7951200,7951200,-3975600,-3975600,2,"BANK_BRI:3975600.00(chg0.00) | BANK_BRI:3975600.00(chg0.00)"
